Entry	Entry Name	Organism	Length	Gene Names (primary)	Protein families
Q6UXF1	TM108_HUMAN	Homo sapiens (Human)	575	TMEM108	
Q6UXG2	ELAP1_HUMAN	Homo sapiens (Human)	1013	ELAPOR1	ELAPOR family
Q6UXG3	CLM9_HUMAN	Homo sapiens (Human)	332	CD300LG	CD300 family
Q6UXG8	BTNL9_HUMAN	Homo sapiens (Human)	535	BTNL9	Immunoglobulin superfamily
Q6UXH0	ANGL8_HUMAN	Homo sapiens (Human)	198	ANGPTL8	ANGPTL8 family
Q6UXH1	CREL2_HUMAN	Homo sapiens (Human)	353	CRELD2	CRELD family
Q6UXH8	CCBE1_HUMAN	Homo sapiens (Human)	406	CCBE1	CCBE1 family
Q6UXI9	NPNT_HUMAN	Homo sapiens (Human)	565	NPNT	Nephronectin family
Q6UXK2	ISLR2_HUMAN	Homo sapiens (Human)	745	ISLR2	
Q6UXL0	I20RB_HUMAN	Homo sapiens (Human)	311	IL20RB	Type II cytokine receptor family
Q6UXN8	CLC9A_HUMAN	Homo sapiens (Human)	241	CLEC9A	
Q6UXN9	WDR82_HUMAN	Homo sapiens (Human)	313	WDR82	WD repeat SWD2 family
Q6UXS9	CASPC_HUMAN	Homo sapiens (Human)	341	CASP12	Peptidase C14A family
Q6UXT8	ALKL1_HUMAN	Homo sapiens (Human)	129	ALKAL1	ALKAL family
Q6UXV0	GFRAL_HUMAN	Homo sapiens (Human)	394	GFRAL	GDNFR family
Q6UXV4	MIC27_HUMAN	Homo sapiens (Human)	268	APOOL	Apolipoprotein O/MICOS complex subunit Mic27 family
Q6UXX9	RSPO2_HUMAN	Homo sapiens (Human)	243	RSPO2	R-spondin family
Q6UXY1	BI2L2_HUMAN	Homo sapiens (Human)	529	BAIAP2L2	
Q6UXZ0	TMIG1_HUMAN	Homo sapiens (Human)	262	TMIGD1	
Q6UXZ3	CLM5_HUMAN	Homo sapiens (Human)	194	CD300LD	CD300 family
Q6UXZ4	UNC5D_HUMAN	Homo sapiens (Human)	953	UNC5D	Unc-5 family
Q6UY09	CEA20_HUMAN	Homo sapiens (Human)	596	CEACAM20	Immunoglobulin superfamily
Q6UY14	ATL4_HUMAN	Homo sapiens (Human)	1074	ADAMTSL4	
Q6V0I7	FAT4_HUMAN	Homo sapiens (Human)	4981	FAT4	
Q6V0L0	CP26C_HUMAN	Homo sapiens (Human)	522	CYP26C1	Cytochrome P450 family
Q6V1X1	DPP8_HUMAN	Homo sapiens (Human)	898	DPP8	Peptidase S9B family
Q6VAB6	KSR2_HUMAN	Homo sapiens (Human)	950	KSR2	Protein kinase superfamily
Q6VB84	FX4L3_HUMAN	Homo sapiens (Human)	417	FOXD4L3	
Q6VEQ5	WASH2_HUMAN	Homo sapiens (Human)	465	WASH2P	WASH1 family
Q6VMQ6	MCAF1_HUMAN	Homo sapiens (Human)	1270	ATF7IP	MCAF family
Q6VN20	RBP10_HUMAN	Homo sapiens (Human)	620	RANBP10	RANBP9/10 family
Q6VVB1	NHLC1_HUMAN	Homo sapiens (Human)	395	NHLRC1	
Q6VVX0	CP2R1_HUMAN	Homo sapiens (Human)	501	CYP2R1	Cytochrome P450 family
Q6VY07	PACS1_HUMAN	Homo sapiens (Human)	963	PACS1	PACS family
Q6W0C5	DPPA3_HUMAN	Homo sapiens (Human)	159	DPPA3	
Q6W2J9	BCOR_HUMAN	Homo sapiens (Human)	1755	BCOR	BCOR family
Q6W4X9	MUC6_HUMAN	Homo sapiens (Human)	2439	MUC6	
Q6W5P4	NPSR1_HUMAN	Homo sapiens (Human)	371	NPSR1	G-protein coupled receptor 1 family
Q6WCQ1	MPRIP_HUMAN	Homo sapiens (Human)	1025	MPRIP	
Q6WKZ4	RFIP1_HUMAN	Homo sapiens (Human)	1283	RAB11FIP1	
Q6WN34	CRDL2_HUMAN	Homo sapiens (Human)	429	CHRDL2	
Q6WRI0	IGS10_HUMAN	Homo sapiens (Human)	2623	IGSF10	
Q6X4U4	SOSD1_HUMAN	Homo sapiens (Human)	206	SOSTDC1	Sclerostin family
Q6X4W1	NSMF_HUMAN	Homo sapiens (Human)	530	NSMF	NSMF family
Q6XD76	ASCL4_HUMAN	Homo sapiens (Human)	172	ASCL4	
Q6XE24	RBMS3_HUMAN	Homo sapiens (Human)	437	RBMS3	
Q6XPS3	TPTE2_HUMAN	Homo sapiens (Human)	522	TPTE2	
Q6XQN6	PNCB_HUMAN	Homo sapiens (Human)	538	NAPRT	NAPRTase family
Q6XR72	ZNT10_HUMAN	Homo sapiens (Human)	485	SLC30A10	Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
Q6XUX3	DUSTY_HUMAN	Homo sapiens (Human)	929	DSTYK	Protein kinase superfamily
Q6XYQ8	SYT10_HUMAN	Homo sapiens (Human)	523	SYT10	Synaptotagmin family
Q6XZB0	LIPI_HUMAN	Homo sapiens (Human)	460	LIPI	AB hydrolase superfamily
Q6XZF7	DNMBP_HUMAN	Homo sapiens (Human)	1577	DNMBP	
Q6Y1H2	HACD2_HUMAN	Homo sapiens (Human)	254	HACD2	Very long-chain fatty acids dehydratase HACD family
Q6Y288	B3GLT_HUMAN	Homo sapiens (Human)	498	B3GLCT	Glycosyltransferase 31 family
Q6Y7W6	GGYF2_HUMAN	Homo sapiens (Human)	1299	GIGYF2	GIGYF family
Q6YBV0	S36A4_HUMAN	Homo sapiens (Human)	504	SLC36A4	Amino acid/polyamine transporter 2 family
Q6YHK3	CD109_HUMAN	Homo sapiens (Human)	1445	CD109	Protease inhibitor I39 (alpha-2-macroglobulin) family
Q6YHU6	THADA_HUMAN	Homo sapiens (Human)	1953	THADA	THADA family
Q6YN16	HSDL2_HUMAN	Homo sapiens (Human)	418	HSDL2	Short-chain dehydrogenases/reductases (SDR) family
Q6YP21	KAT3_HUMAN	Homo sapiens (Human)	454	KYAT3	Class-I pyridoxal-phosphate-dependent aminotransferase family
Q6ZMB0	B3GN6_HUMAN	Homo sapiens (Human)	384	B3GNT6	Glycosyltransferase 31 family
Q6ZMC9	SIG15_HUMAN	Homo sapiens (Human)	328	SIGLEC15	Immunoglobulin superfamily
Q6ZMG9	CERS6_HUMAN	Homo sapiens (Human)	384	CERS6	
Q6ZMH5	S39A5_HUMAN	Homo sapiens (Human)	540	SLC39A5	ZIP transporter (TC 2.A.5) family
Q6ZMI0	PPR21_HUMAN	Homo sapiens (Human)	780	PPP1R21	
Q6ZMI3	GLDN_HUMAN	Homo sapiens (Human)	551	GLDN	
Q6ZMJ2	SCAR5_HUMAN	Homo sapiens (Human)	495	SCARA5	SCARA5 family
Q6ZMJ4	IL34_HUMAN	Homo sapiens (Human)	242	IL34	IL-34 family
Q6ZMM2	ATL5_HUMAN	Homo sapiens (Human)	481	ADAMTSL5	
Q6ZMQ8	LMTK1_HUMAN	Homo sapiens (Human)	1374	AATK	Protein kinase superfamily
Q6ZMR5	TM11A_HUMAN	Homo sapiens (Human)	418	TMPRSS11A	Peptidase S1 family
Q6ZMS7	ZN783_HUMAN	Homo sapiens (Human)	546	ZNF783	
Q6ZMT1	STAC2_HUMAN	Homo sapiens (Human)	411	STAC2	
Q6ZMT4	KDM7A_HUMAN	Homo sapiens (Human)	941	KDM7A	JHDM1 histone demethylase family
Q6ZMU5	TRI72_HUMAN	Homo sapiens (Human)	477	TRIM72	TRIM/RBCC family
Q6ZMZ0	RN19B_HUMAN	Homo sapiens (Human)	732	RNF19B	RBR family
Q6ZMZ3	SYNE3_HUMAN	Homo sapiens (Human)	975	SYNE3	Nesprin family
Q6ZN04	MEX3B_HUMAN	Homo sapiens (Human)	569	MEX3B	
Q6ZN16	M3K15_HUMAN	Homo sapiens (Human)	1313	MAP3K15	Protein kinase superfamily
Q6ZN17	LN28B_HUMAN	Homo sapiens (Human)	250	LIN28B	Lin-28 family
Q6ZN18	AEBP2_HUMAN	Homo sapiens (Human)	517	AEBP2	AEBP2/jing C2H2-type zinc-finger family
Q6ZN30	BNC2_HUMAN	Homo sapiens (Human)	1099	BNC2	
Q6ZN44	UNC5A_HUMAN	Homo sapiens (Human)	842	UNC5A	Unc-5 family
Q6ZN55	ZN574_HUMAN	Homo sapiens (Human)	896	ZNF574	Krueppel C2H2-type zinc-finger protein family
Q6ZN57	ZFP2_HUMAN	Homo sapiens (Human)	461	ZFP2	Krueppel C2H2-type zinc-finger protein family
Q6ZNA4	RN111_HUMAN	Homo sapiens (Human)	994	RNF111	Arkadia family
Q6ZNB7	ALKMO_HUMAN	Homo sapiens (Human)	445	AGMO	Sterol desaturase family
Q6ZNC8	MBOA1_HUMAN	Homo sapiens (Human)	495	MBOAT1	Membrane-bound acyltransferase family
Q6ZNE5	BAKOR_HUMAN	Homo sapiens (Human)	492	ATG14	ATG14 family
Q6ZNE9	RUFY4_HUMAN	Homo sapiens (Human)	571	RUFY4	
Q6ZNG0	ZN620_HUMAN	Homo sapiens (Human)	422	ZNF620	Krueppel C2H2-type zinc-finger protein family
Q6ZNH5	ZN497_HUMAN	Homo sapiens (Human)	498	ZNF497	Krueppel C2H2-type zinc-finger protein family
Q6ZNJ1	NBEL2_HUMAN	Homo sapiens (Human)	2754	NBEAL2	WD repeat neurobeachin family
Q6ZNK6	TIFAB_HUMAN	Homo sapiens (Human)	161	TIFAB	
Q6ZNL6	FGD5_HUMAN	Homo sapiens (Human)	1462	FGD5	
Q6ZNX1	SHLD3_HUMAN	Homo sapiens (Human)	250	SHLD3	
Q6ZP29	LAAT1_HUMAN	Homo sapiens (Human)	291	SLC66A1	Laat-1 family
Q6ZP80	TM182_HUMAN	Homo sapiens (Human)	229	TMEM182	TMEM182 family
Q6ZP82	CC141_HUMAN	Homo sapiens (Human)	1450	CCDC141	
Q6ZPD8	DG2L6_HUMAN	Homo sapiens (Human)	337	DGAT2L6	Diacylglycerol acyltransferase family
Q6ZQN7	SO4C1_HUMAN	Homo sapiens (Human)	724	SLCO4C1	Organo anion transporter (TC 2.A.60) family
Q6ZQW0	I23O2_HUMAN	Homo sapiens (Human)	420	IDO2	Indoleamine 2,3-dioxygenase family
Q6ZQX7	LIAT1_HUMAN	Homo sapiens (Human)	453	LIAT1	
Q6ZQY3	GADL1_HUMAN	Homo sapiens (Human)	521	GADL1	Group II decarboxylase family
Q6ZR08	DYH12_HUMAN	Homo sapiens (Human)	3092	DNAH12	Dynein heavy chain family
Q6ZR37	PKHG7_HUMAN	Homo sapiens (Human)	691	PLEKHG7	
Q6ZRF8	RN207_HUMAN	Homo sapiens (Human)	634	RNF207	
Q6ZRI0	OTOG_HUMAN	Homo sapiens (Human)	2925	OTOG	Otogelin family
Q6ZRP7	QSOX2_HUMAN	Homo sapiens (Human)	698	QSOX2	Quiescin-sulfhydryl oxidase (QSOX) family
Q6ZRQ5	MMS22_HUMAN	Homo sapiens (Human)	1243	MMS22L	MMS22 family
Q6ZRS2	SRCAP_HUMAN	Homo sapiens (Human)	3230	SRCAP	SNF2/RAD54 helicase family
Q6ZRV2	FA83H_HUMAN	Homo sapiens (Human)	1179	FAM83H	FAM83 family
Q6ZRY4	RBPS2_HUMAN	Homo sapiens (Human)	209	RBPMS2	
Q6ZS10	CL17A_HUMAN	Homo sapiens (Human)	378	CLEC17A	
Q6ZS17	RIPR1_HUMAN	Homo sapiens (Human)	1223	RIPOR1	RIPOR family
Q6ZSA7	LRC55_HUMAN	Homo sapiens (Human)	298	LRRC55	
Q6ZSB9	ZBT49_HUMAN	Homo sapiens (Human)	765	ZBTB49	Krueppel C2H2-type zinc-finger protein family
Q6ZSG1	RN165_HUMAN	Homo sapiens (Human)	346	RNF165	Arkadia family
Q6ZSJ9	SHSA6_HUMAN	Homo sapiens (Human)	500	SHISA6	Shisa family
Q6ZSM3	MOT12_HUMAN	Homo sapiens (Human)	516	SLC16A12	Major facilitator superfamily
Q6ZSS7	MFSD6_HUMAN	Homo sapiens (Human)	791	MFSD6	Major facilitator superfamily
Q6ZSY5	PPR3F_HUMAN	Homo sapiens (Human)	799	PPP1R3F	
Q6ZSZ5	ARHGI_HUMAN	Homo sapiens (Human)	1361	ARHGEF18	
Q6ZSZ6	TSH1_HUMAN	Homo sapiens (Human)	1077	TSHZ1	Teashirt C2H2-type zinc-finger protein family
Q6ZT12	UBR3_HUMAN	Homo sapiens (Human)	1888	UBR3	UBR1 family
Q6ZT21	TMPPE_HUMAN	Homo sapiens (Human)	453	TMPPE	Metallophosphoesterase superfamily
Q6ZT62	BGIN_HUMAN	Homo sapiens (Human)	677	BARGIN	
Q6ZT89	S2548_HUMAN	Homo sapiens (Human)	311	SLC25A48	Mitochondrial carrier (TC 2.A.29) family
Q6ZT98	TTLL7_HUMAN	Homo sapiens (Human)	887	TTLL7	Tubulin--tyrosine ligase family
Q6ZTN6	AN13D_HUMAN	Homo sapiens (Human)	605	ANKRD13D	
Q6ZTQ4	CDHR3_HUMAN	Homo sapiens (Human)	885	CDHR3	
Q6ZTR5	CFA47_HUMAN	Homo sapiens (Human)	3187	CFAP47	
Q6ZU15	SEP14_HUMAN	Homo sapiens (Human)	432	SEPTIN14	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily
Q6ZU35	CRACD_HUMAN	Homo sapiens (Human)	1233	CRACD	
Q6ZU52	K0408_HUMAN	Homo sapiens (Human)	694	KIAA0408	
Q6ZU64	CFA65_HUMAN	Homo sapiens (Human)	1925	CFAP65	CFAP65 family
Q6ZU80	CE128_HUMAN	Homo sapiens (Human)	1094	CEP128	
Q6ZUI0	TPRG1_HUMAN	Homo sapiens (Human)	275	TPRG1	TPRG1 family
Q6ZUJ8	BCAP_HUMAN	Homo sapiens (Human)	805	PIK3AP1	
Q6ZUM4	RHG27_HUMAN	Homo sapiens (Human)	889	ARHGAP27	
Q6ZUT1	NKAP1_HUMAN	Homo sapiens (Human)	292	NKAPD1	
Q6ZUT3	FRMD7_HUMAN	Homo sapiens (Human)	714	FRMD7	
Q6ZUX7	LHPL2_HUMAN	Homo sapiens (Human)	228	LHFPL2	LHFP family
Q6ZV29	PLPL7_HUMAN	Homo sapiens (Human)	1317	PNPLA7	NTE family
Q6ZV65	FA47E_HUMAN	Homo sapiens (Human)	393	FAM47E	FAM47 family
Q6ZV73	FGD6_HUMAN	Homo sapiens (Human)	1430	FGD6	
Q6ZVD7	STOX1_HUMAN	Homo sapiens (Human)	989	STOX1	
Q6ZVD8	PHLP2_HUMAN	Homo sapiens (Human)	1323	PHLPP2	
Q6ZVE7	GOT1A_HUMAN	Homo sapiens (Human)	132	GOLT1A	GOT1 family
Q6ZVK8	NUD18_HUMAN	Homo sapiens (Human)	323	NUDT18	Nudix hydrolase family
Q6ZVM7	TM1L2_HUMAN	Homo sapiens (Human)	507	TOM1L2	TOM1 family
Q6ZVN8	RGMC_HUMAN	Homo sapiens (Human)	426	HJV	Repulsive guidance molecule (RGM) family
Q6ZVT0	TTL10_HUMAN	Homo sapiens (Human)	673	TTLL10	
Q6ZW31	SYDE1_HUMAN	Homo sapiens (Human)	735	SYDE1	
Q6ZW49	PAXI1_HUMAN	Homo sapiens (Human)	1069	PAXIP1	
Q6ZW61	BBS12_HUMAN	Homo sapiens (Human)	710	BBS12	TCP-1 chaperonin family
Q6ZW76	ANKS3_HUMAN	Homo sapiens (Human)	656	ANKS3	
Q6ZWH5	NEK10_HUMAN	Homo sapiens (Human)	1172	NEK10	Protein kinase superfamily
Q6ZWJ1	STXB4_HUMAN	Homo sapiens (Human)	553	STXBP4	
Q6ZWK4	RHEX_HUMAN	Homo sapiens (Human)	172	RHEX	
Q6ZWL3	CP4V2_HUMAN	Homo sapiens (Human)	525	CYP4V2	Cytochrome P450 family
Q6ZWT7	MBOA2_HUMAN	Homo sapiens (Human)	520	MBOAT2	Membrane-bound acyltransferase family
Q6ZXV5	TMTC3_HUMAN	Homo sapiens (Human)	915	TMTC3	TMTC family
Q6ZYL4	TF2H5_HUMAN	Homo sapiens (Human)	71	GTF2H5	TFB5 family
Q701N4	KRA52_HUMAN	Homo sapiens (Human)	177	KRTAP5-2	KRTAP type 5 family
Q702N8	XIRP1_HUMAN	Homo sapiens (Human)	1843	XIRP1	Xin family
Q709C8	VP13C_HUMAN	Homo sapiens (Human)	3753	VPS13C	VPS13 family
Q709F0	ACD11_HUMAN	Homo sapiens (Human)	780	ACAD11	Acyl-CoA dehydrogenase family
Q70CQ1	UBP49_HUMAN	Homo sapiens (Human)	688	USP49	Peptidase C19 family
Q70CQ2	UBP34_HUMAN	Homo sapiens (Human)	3546	USP34	Peptidase C19 family
Q70CQ3	UBP30_HUMAN	Homo sapiens (Human)	517	USP30	Peptidase C19 family
Q70CQ4	UBP31_HUMAN	Homo sapiens (Human)	1352	USP31	Peptidase C19 family
Q70E73	RAPH1_HUMAN	Homo sapiens (Human)	1250	RAPH1	MRL family
Q70EK8	UBP53_HUMAN	Homo sapiens (Human)	1073	USP53	Peptidase C19 family
Q70EK9	UBP51_HUMAN	Homo sapiens (Human)	711	USP51	Peptidase C19 family
Q70EL1	UBP54_HUMAN	Homo sapiens (Human)	1684	USP54	Peptidase C19 family
Q70EL2	UBP45_HUMAN	Homo sapiens (Human)	814	USP45	Peptidase C19 family
Q70EL3	UBP50_HUMAN	Homo sapiens (Human)	339	USP50	Peptidase C19 family
Q70EL4	UBP43_HUMAN	Homo sapiens (Human)	1123	USP43	Peptidase C19 family
Q70HW3	SAMC_HUMAN	Homo sapiens (Human)	274	SLC25A26	Mitochondrial carrier (TC 2.A.29) family
Q70IA6	MOB2_HUMAN	Homo sapiens (Human)	237	MOB2	MOB1/phocein family
Q70IA8	MOB3C_HUMAN	Homo sapiens (Human)	216	MOB3C	MOB1/phocein family
Q70J99	UN13D_HUMAN	Homo sapiens (Human)	1090	UNC13D	Unc-13 family
Q70JA7	CHSS3_HUMAN	Homo sapiens (Human)	882	CHSY3	Chondroitin N-acetylgalactosaminyltransferase family
Q70SY1	CR3L2_HUMAN	Homo sapiens (Human)	520	CREB3L2	BZIP family
Q70UQ0	IKIP_HUMAN	Homo sapiens (Human)	350	IKBIP	
Q70YC4	TALAN_HUMAN	Homo sapiens (Human)	216	ZNF365	
Q70YC5	ZN365_HUMAN	Homo sapiens (Human)	407	ZNF365	
Q70Z35	PREX2_HUMAN	Homo sapiens (Human)	1606	PREX2	
Q70Z44	5HT3D_HUMAN	Homo sapiens (Human)	454	HTR3D	Ligand-gated ion channel (TC 1.A.9) family
Q712K3	UB2R2_HUMAN	Homo sapiens (Human)	238	UBE2R2	Ubiquitin-conjugating enzyme family
Q719H9	KCTD1_HUMAN	Homo sapiens (Human)	257	KCTD1	
Q71DI3	H32_HUMAN	Homo sapiens (Human)	136	H3C15
Q71F23	CENPU_HUMAN	Homo sapiens (Human)	418	CENPU	CENP-U/AME1 family
Q71F56	MD13L_HUMAN	Homo sapiens (Human)	2210	MED13L	Mediator complex subunit 13 family
Q71H61	ILDR2_HUMAN	Homo sapiens (Human)	639	ILDR2	Immunoglobulin superfamily
Q71RC2	LARP4_HUMAN	Homo sapiens (Human)	724	LARP4	
Q71RG4	TMUB2_HUMAN	Homo sapiens (Human)	321	TMUB2	
Q71RS6	NCKX5_HUMAN	Homo sapiens (Human)	500	SLC24A5	Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family
Q71SY5	MED25_HUMAN	Homo sapiens (Human)	747	MED25	Mediator complex subunit 25 family
Q71U36	TBA1A_HUMAN	Homo sapiens (Human)	451	TUBA1A	Tubulin family
Q71UI9	H2AV_HUMAN	Homo sapiens (Human)	128	H2AZ2	Histone H2A family
Q71UM5	RS27L_HUMAN	Homo sapiens (Human)	84	RPS27L	Eukaryotic ribosomal protein eS27 family
Q75N03	HAKAI_HUMAN	Homo sapiens (Human)	491	CBLL1	Hakai family
Q75N90	FBN3_HUMAN	Homo sapiens (Human)	2809	FBN3	Fibrillin family
Q75QN2	INT8_HUMAN	Homo sapiens (Human)	995	INTS8	Integrator subunit 8 family
Q75T13	PGAP1_HUMAN	Homo sapiens (Human)	922	PGAP1	GPI inositol-deacylase family
Q75V66	ANO5_HUMAN	Homo sapiens (Human)	913	ANO5	Anoctamin family
Q75WM6	H1FNT_HUMAN	Homo sapiens (Human)	255	H1-7	Histone H1/H5 family
Q765P7	MTSS2_HUMAN	Homo sapiens (Human)	747	MTSS2	MTSS family
Q76EJ3	S35D2_HUMAN	Homo sapiens (Human)	337	SLC35D2	TPT transporter family
Q76FK4	NOL8_HUMAN	Homo sapiens (Human)	1167	NOL8	
Q76I76	SSH2_HUMAN	Homo sapiens (Human)	1423	SSH2	Protein-tyrosine phosphatase family
Q76L83	ASXL2_HUMAN	Homo sapiens (Human)	1435	ASXL2	Asx family
Q76LX8	ATS13_HUMAN	Homo sapiens (Human)	1427	ADAMTS13	
Q76M96	CCD80_HUMAN	Homo sapiens (Human)	950	CCDC80	CCDC80 family
Q76MJ5	ERN2_HUMAN	Homo sapiens (Human)	926	ERN2	Protein kinase superfamily
Q76N32	CEP68_HUMAN	Homo sapiens (Human)	757	CEP68	
Q76N89	HECW1_HUMAN	Homo sapiens (Human)	1606	HECW1	
Q76NI1	KNDC1_HUMAN	Homo sapiens (Human)	1749	KNDC1	
Q7KYR7	BT2A1_HUMAN	Homo sapiens (Human)	527	BTN2A1	Immunoglobulin superfamily
Q7KZ85	SPT6H_HUMAN	Homo sapiens (Human)	1726	SUPT6H	SPT6 family
Q7KZF4	SND1_HUMAN	Homo sapiens (Human)	910	SND1	
Q7KZI7	MARK2_HUMAN	Homo sapiens (Human)	788	MARK2	Protein kinase superfamily
Q7KZN9	COX15_HUMAN	Homo sapiens (Human)	410	COX15	COX15/CtaA family
Q7L014	DDX46_HUMAN	Homo sapiens (Human)	1031	DDX46	DEAD box helicase family
Q7L099	RUFY3_HUMAN	Homo sapiens (Human)	469	RUFY3	
Q7L0J3	SV2A_HUMAN	Homo sapiens (Human)	742	SV2A	Major facilitator superfamily
Q7L0Q8	RHOU_HUMAN	Homo sapiens (Human)	258	RHOU	Small GTPase superfamily
Q7L0X0	TRIL_HUMAN	Homo sapiens (Human)	811	TRIL	
Q7L0Y3	TM10C_HUMAN	Homo sapiens (Human)	403	TRMT10C	Class IV-like SAM-binding methyltransferase superfamily
Q7L190	DPPA4_HUMAN	Homo sapiens (Human)	304	DPPA4	
Q7L1I2	SV2B_HUMAN	Homo sapiens (Human)	683	SV2B	Major facilitator superfamily
Q7L1Q6	5MP2_HUMAN	Homo sapiens (Human)	419	BZW1	BZW family
Q7L1S5	CHST9_HUMAN	Homo sapiens (Human)	443	CHST9	Sulfotransferase 2 family
Q7L1T6	NB5R4_HUMAN	Homo sapiens (Human)	521	CYB5R4	Flavoprotein pyridine nucleotide cytochrome reductase family
Q7L1W4	LRC8D_HUMAN	Homo sapiens (Human)	858	LRRC8D	LRRC8 family
Q7L266	ASGL1_HUMAN	Homo sapiens (Human)	308	ASRGL1	Ntn-hydrolase family
Q7L273	KCTD9_HUMAN	Homo sapiens (Human)	389	KCTD9	
Q7L2E3	DHX30_HUMAN	Homo sapiens (Human)	1194	DHX30	DEAD box helicase family
Q7L2H7	EIF3M_HUMAN	Homo sapiens (Human)	374	EIF3M	EIF-3 subunit M family
Q7L2J0	MEPCE_HUMAN	Homo sapiens (Human)	689	MEPCE	Methyltransferase superfamily
Q7L2R6	ZN765_HUMAN	Homo sapiens (Human)	523	ZNF765	Krueppel C2H2-type zinc-finger protein family
Q7L2Z9	CENPQ_HUMAN	Homo sapiens (Human)	268	CENPQ	CENP-Q/OKP1 family
Q7L3B6	CD37L_HUMAN	Homo sapiens (Human)	337	CDC37L1	CDC37 family
Q7L3V2	BOP_HUMAN	Homo sapiens (Human)	364	RTL10	
Q7L4E1	MIGA2_HUMAN	Homo sapiens (Human)	593	MIGA2	Mitoguardin family
Q7L4I2	RSRC2_HUMAN	Homo sapiens (Human)	434	RSRC2	RSRC2 family
Q7L4P6	BEND5_HUMAN	Homo sapiens (Human)	421	BEND5	
Q7L513	FCRLA_HUMAN	Homo sapiens (Human)	359	FCRLA	
Q7L523	RRAGA_HUMAN	Homo sapiens (Human)	313	RRAGA	GTR/RAG GTP-binding protein family
Q7L576	CYFP1_HUMAN	Homo sapiens (Human)	1253	CYFIP1	CYFIP family
Q7L590	MCM10_HUMAN	Homo sapiens (Human)	875	MCM10	MCM10 family
Q7L591	DOK3_HUMAN	Homo sapiens (Human)	496	DOK3	DOK family
Q7L592	NDUF7_HUMAN	Homo sapiens (Human)	441	NDUFAF7	NDUFAF7 family
Q7L5A3	ATOSB_HUMAN	Homo sapiens (Human)	538	ATOSB	ATOS family
Q7L5A8	FA2H_HUMAN	Homo sapiens (Human)	372	FA2H	Sterol desaturase family
Q7L5D6	GET4_HUMAN	Homo sapiens (Human)	327	GET4	GET4 family
Q7L5L3	GDPD3_HUMAN	Homo sapiens (Human)	318	GDPD3	Glycerophosphoryl diester phosphodiesterase family
Q7L5N1	CSN6_HUMAN	Homo sapiens (Human)	327	COPS6	Peptidase M67A family
Q7L5N7	PCAT2_HUMAN	Homo sapiens (Human)	544	LPCAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase family
Q7L5Y1	ENOF1_HUMAN	Homo sapiens (Human)	443	ENOSF1	Mandelate racemase/muconate lactonizing enzyme family
Q7L5Y6	DET1_HUMAN	Homo sapiens (Human)	550	DET1	DET1 family
Q7L5Y9	MAEA_HUMAN	Homo sapiens (Human)	396	MAEA	
Q7L622	G2E3_HUMAN	Homo sapiens (Human)	706	G2E3	
Q7L775	EPMIP_HUMAN	Homo sapiens (Human)	607	EPM2AIP1	
Q7L7L0	H2A3_HUMAN	Homo sapiens (Human)	130	H2AC25	Histone H2A family
Q7L7V1	DHX32_HUMAN	Homo sapiens (Human)	743	DHX32	DEAD box helicase family
Q7L7X3	TAOK1_HUMAN	Homo sapiens (Human)	1001	TAOK1	Protein kinase superfamily
Q7L804	RFIP2_HUMAN	Homo sapiens (Human)	512	RAB11FIP2	
Q7L8A9	VASH1_HUMAN	Homo sapiens (Human)	365	VASH1	Transglutaminase-like superfamily
Q7L8C5	SYT13_HUMAN	Homo sapiens (Human)	426	SYT13	Synaptotagmin family
Q7L8J4	3BP5L_HUMAN	Homo sapiens (Human)	393	SH3BP5L	SH3BP5 family
Q7L8L6	FAKD5_HUMAN	Homo sapiens (Human)	764	FASTKD5	FAST kinase family
Q7L8S5	OTU6A_HUMAN	Homo sapiens (Human)	288	OTUD6A	
Q7L8W6	DPH6_HUMAN	Homo sapiens (Human)	267	DPH6	Diphthine--ammonia ligase family
Q7L9L4	MOB1B_HUMAN	Homo sapiens (Human)	216	MOB1B	MOB1/phocein family
Q7LBC6	KDM3B_HUMAN	Homo sapiens (Human)	1761	KDM3B	JHDM2 histone demethylase family
Q7LBE3	S26A9_HUMAN	Homo sapiens (Human)	791	SLC26A9	SLC26A/SulP transporter (TC 2.A.53) family
Q7LBR1	CHM1B_HUMAN	Homo sapiens (Human)	199	CHMP1B	SNF7 family
Q7LC44	ARC_HUMAN	Homo sapiens (Human)	396	ARC	ARC/ARG3.1 family
Q7LDG7	GRP2_HUMAN	Homo sapiens (Human)	609	RASGRP2	RASGRP family
Q7LFL8	CXXC5_HUMAN	Homo sapiens (Human)	322	CXXC5	
Q7LFX5	CHSTF_HUMAN	Homo sapiens (Human)	561	CHST15	Sulfotransferase 1 family
Q7LG56	RIR2B_HUMAN	Homo sapiens (Human)	351	RRM2B	Ribonucleoside diphosphate reductase small chain family
Q7LGA3	HS2ST_HUMAN	Homo sapiens (Human)	356	HS2ST1	Sulfotransferase 3 family
Q7LGC8	CHST3_HUMAN	Homo sapiens (Human)	479	CHST3	Sulfotransferase 1 family
Q7RTN6	STRAA_HUMAN	Homo sapiens (Human)	431	STRADA	Protein kinase superfamily
